symbol,strike,option_type,expiry,entry_time,entry_price,quantity,lots,sl_price,sl2_price,is_hedge,exit_time,exit_price,exit_reason,pnl
NIFTY,23450.0,CE,2026-04-13,2026-04-13 09:25:00,175.4,-800,10,228.02,,False,,,,0.0
NIFTY,23450.0,PE,2026-04-13,2026-04-13 09:25:00,29.75,-800,10,38.68,,False,,,,0.0
NIFTY,23500.0,CE,2026-04-13,2026-04-13 09:25:00,140.3,-800,10,182.39,,False,,,,0.0
NIFTY,24200.0,CE,2026-04-13,2026-04-13 09:30:00,1.15,825,11,,,True,,,,0.0
NIFTY,23000.0,PE,2026-04-13,2026-04-13 09:30:00,1.15,375,5,,,True,,,,0.0
NIFTY,22400.0,PE,2026-04-13,2026-04-13 09:35:00,0.55,375,5,,,True,,,,0.0
NIFTY,23450.0,CE,2026-04-13,2026-04-13 09:25:00,175.4,-800,10,228.02,,False,2026-04-13 09:50:00,194.15,RMS_INVALID_STRIKE,-15000.0
NIFTY,23450.0,PE,2026-04-13,2026-04-13 09:25:00,29.75,-800,10,38.68,,False,2026-04-13 09:50:00,19.35,RMS_INVALID_STRIKE,8319.999999999998
NIFTY,23550.0,CE,2026-04-13,2026-04-13 09:50:00,120.35,-800,10,156.45,,False,,,,0.0
NIFTY,23550.0,PE,2026-04-13,2026-04-13 09:50:00,45.6,-800,10,59.28,,False,,,,0.0
NIFTY,23500.0,CE,2026-04-13,2026-04-13 09:25:00,140.3,-800,10,182.39,,False,2026-04-13 10:10:00,183.0,SL_HIT,-34159.99999999999
NIFTY,23600.0,CE,2026-04-13,2026-04-13 10:15:00,88.95,-800,10,115.64,,False,,,,0.0
NIFTY,23600.0,CE,2026-04-13,2026-04-13 10:15:00,88.95,-800,10,115.64,,False,2026-04-13 10:20:00,116.85,SL_HIT,-22319.999999999993
NIFTY,23650.0,CE,2026-04-13,2026-04-13 10:25:00,104.65,-800,10,136.05,,False,,,,0.0
NIFTY,23550.0,CE,2026-04-13,2026-04-13 09:50:00,120.35,-800,10,156.45,,False,2026-04-13 10:25:00,159.58,SL_HIT,-31384.000000000015
NIFTY,23550.0,PE,2026-04-13,2026-04-13 09:50:00,45.6,-800,10,59.28,,False,2026-04-13 10:30:00,18.4,RMS_INVALID_STRIKE,21760.000000000004
NIFTY,23650.0,PE,2026-04-13,2026-04-13 10:30:00,44.0,-800,10,57.2,,False,,,,0.0
NIFTY,23650.0,CE,2026-04-13,2026-04-13 10:25:00,104.65,-800,10,136.05,,False,2026-04-13 11:50:00,138.77,SL_HIT,-27296.000000000004
NIFTY,23750.0,CE,2026-04-13,2026-04-13 11:55:00,94.7,-800,10,123.11,,False,,,,0.0
NIFTY,23750.0,PE,2026-04-13,2026-04-13 11:55:00,38.35,-800,10,49.86,,False,,,,0.0
NIFTY,22600.0,PE,2026-04-13,2026-04-13 12:00:00,0.45,825,11,,,True,,,,0.0
NIFTY,23650.0,PE,2026-04-13,2026-04-13 10:30:00,44.0,-800,10,57.2,,False,2026-04-13 12:30:00,8.7,RMS_INVALID_STRIKE,28239.999999999996
NIFTY,23700.0,CE,2026-04-13,2026-04-13 13:00:00,125.65,-800,10,163.34,,False,,,,0.0
NIFTY,23700.0,CE,2026-04-13,2026-04-13 13:00:00,125.65,-800,10,163.34,,False,2026-04-13 13:55:00,194.7,RMS_INVALID_STRIKE,-55239.999999999985
NIFTY,23750.0,CE,2026-04-13,2026-04-13 11:55:00,94.7,-800,10,123.11,,False,2026-04-13 13:55:00,125.57,SL_HIT,-24695.999999999993
NIFTY,23800.0,CE,2026-04-13,2026-04-13 14:00:00,101.85,-800,10,132.4,,False,,,,0.0
NIFTY,23800.0,CE,2026-04-13,2026-04-13 14:00:00,101.85,-800,10,116.0,116.0,False,,,,0.0
NIFTY,23750.0,PE,2026-04-13,2026-04-13 11:55:00,38.35,-800,10,49.86,,False,2026-04-13 15:20:00,0.05,EOD_SQUAREOFF,30640.000000000004
NIFTY,23800.0,CE,2026-04-13,2026-04-13 14:00:00,101.85,-800,10,116.0,116.0,False,2026-04-13 15:20:00,39.0,EOD_SQUAREOFF,50279.99999999999
NIFTY,24200.0,CE,2026-04-13,2026-04-13 09:30:00,1.15,825,11,,,True,2026-04-13 15:20:00,0.05,EOD_SQUAREOFF,-907.4999999999999
NIFTY,23000.0,PE,2026-04-13,2026-04-13 09:30:00,1.15,375,5,,,True,2026-04-13 15:20:00,0.05,EOD_SQUAREOFF,-412.49999999999994
NIFTY,22400.0,PE,2026-04-13,2026-04-13 09:35:00,0.55,375,5,,,True,2026-04-13 15:20:00,0.05,EOD_SQUAREOFF,-187.5
NIFTY,22600.0,PE,2026-04-13,2026-04-13 12:00:00,0.45,825,11,,,True,2026-04-13 15:20:00,0.05,EOD_SQUAREOFF,-330.0
